codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02134,02,32.0,163,14,11
02135,02,32.0,218,18,15
02136,02,32.0,24,2,1
02137,02,32.0,29,2,2
02138,02,32.0,16,1,1
02139,02,32.0,84,7,6
02140,02,32.0,85,7,6
02141,02,32.0,357,30,26
02142,02,32.0,49,4,3
02143,02,32.0,36,3,2
02144,02,32.0,24,2,1
02145,02,32.0,89,7,6
02146,02,32.0,4,0,0
02148,02,32.0,45,3,3
02149,02,32.0,13,1,0
02150,02,32.0,1,0,0
02151,02,32.0,7,0,0
02152,02,32.0,5,0,0
02153,02,32.0,126,10,9
02154,02,32.0,58,5,4
02155,02,32.0,36,3,2
02156,02,32.0,20,1,1
02157,02,32.0,157,13,11
02158,02,32.0,55,4,4
02159,02,32.0,42,3,3
02160,02,32.0,107,9,7
02162,02,32.0,29,2,2
02163,02,32.0,523,45,38
02164,02,32.0,48,4,3
02165,02,32.0,296,25,21
02166,02,32.0,53,4,3
02167,02,32.0,157,13,11
02168,02,32.0,3006,258,220
02169,02,32.0,16,1,1
02170,02,32.0,7,0,0
02171,02,32.0,4,0,0
02172,02,32.0,25,2,1
02173,02,32.0,2429,209,177
02174,02,32.0,165,14,12
02175,02,32.0,10,0,0
02176,02,32.0,17,1,1
02177,02,32.0,25,2,1
02178,02,32.0,20,1,1
02179,02,32.0,60,5,4
02180,02,32.0,128,11,9
02181,02,32.0,16,1,1
02182,02,32.0,24,2,1
02183,02,32.0,37,3,2
02184,02,32.0,70,6,5
02185,02,32.0,67,5,4
02186,02,32.0,273,23,20
02187,02,32.0,227,19,16
02188,02,32.0,28,2,2
02189,02,32.0,70,6,5
02190,02,32.0,101,8,7
02191,02,32.0,102,8,7
02192,02,32.0,48,4,3
02193,02,32.0,12,1,0
02194,02,32.0,35,3,2
02195,02,32.0,170,14,12
02196,02,32.0,61,5,4
02197,02,32.0,95,8,6
02198,02,32.0,20,1,1
02199,02,32.0,108,9,7
02200,02,32.0,23,2,1
02201,02,32.0,96,8,7
02203,02,32.0,244,21,17
02204,02,32.0,13,1,0
02205,02,32.0,46,3,3
02206,02,32.0,13,1,0
