cim10;init;gpe;charls
F01242;;dem;dem
F013;;dem;dem
F0130;;dem;dem
F01300;;dem;dem
F01301;;dem;dem
F01302;;dem;dem
F0131;;dem;dem
F01310;;dem;dem
F01311;;dem;dem
F01312;;dem;dem
F0132;;dem;dem
F01320;;dem;dem
F01321;;dem;dem
F01322;;dem;dem
F0133;;dem;dem
F01330;;dem;dem
F01331;;dem;dem
F01332;;dem;dem
F0134;;dem;dem
F01340;;dem;dem
F01341;;dem;dem
F01342;;dem;dem
F018;;dem;dem
F0180;;dem;dem
F01800;;dem;dem
F01801;;dem;dem
F01802;;dem;dem
F0181;;dem;dem
F01810;;dem;dem
F01811;;dem;dem
F01812;;dem;dem
F0182;;dem;dem
F01820;;dem;dem
F01821;;dem;dem
F01822;;dem;dem
F0183;;dem;dem
F01830;;dem;dem
F01831;;dem;dem
F01832;;dem;dem
F0184;;dem;dem
F01840;;dem;dem
F01841;;dem;dem
F01842;;dem;dem
F019;;dem;dem
F0190;;dem;dem
F01900;;dem;dem
F01901;;dem;dem
F01902;;dem;dem
F0191;;dem;dem
F01910;;dem;dem
F01911;;dem;dem
F01912;;dem;dem
F0192;;dem;dem
F01920;;dem;dem
F01921;;dem;dem
F01922;;dem;dem
F0193;;dem;dem
F01930;;dem;dem
F01931;;dem;dem
F01932;;dem;dem
F0194;;dem;dem
F01940;;dem;dem
F01941;;dem;dem
F01942;;dem;dem
F02;;dem;dem
F020;;dem;dem
F0200;;dem;dem
F02000;;dem;dem
F02001;;dem;dem
F02002;;dem;dem
F0201;;dem;dem
F02010;;dem;dem
F02011;;dem;dem
F02012;;dem;dem
F0202;;dem;dem
F02020;;dem;dem
F02021;;dem;dem
F02022;;dem;dem
F0203;;dem;dem
F02030;;dem;dem
F02031;;dem;dem
F02032;;dem;dem
F0204;;dem;dem
F02040;;dem;dem
F02041;;dem;dem
F02042;;dem;dem
F021;;dem;dem
F0210;;dem;dem
F02100;;dem;dem
F02101;;dem;dem
F02102;;dem;dem
F0211;;dem;dem
F02110;;dem;dem
F02111;;dem;dem
F02112;;dem;dem
F0212;;dem;dem
F02120;;dem;dem
F02121;;dem;dem
F02122;;dem;dem
F0213;;dem;dem
F02130;;dem;dem
F02131;;dem;dem
F02132;;dem;dem
F0214;;dem;dem
F02140;;dem;dem
F02141;;dem;dem
F02142;;dem;dem
F022;;dem;dem
F0220;;dem;dem
F02200;;dem;dem
F02201;;dem;dem
F02202;;dem;dem
F0221;;dem;dem
F02210;;dem;dem
F02211;;dem;dem
F02212;;dem;dem
F0222;;dem;dem
F02220;;dem;dem
F02221;;dem;dem
F02222;;dem;dem
F0223;;dem;dem
F02230;;dem;dem
F02231;;dem;dem
F02232;;dem;dem
F0224;;dem;dem
F02240;;dem;dem
F02241;;dem;dem
F02242;;dem;dem
F023;;dem;dem
F0230;;dem;dem
F02300;;dem;dem
F02301;;dem;dem
F02302;;dem;dem
F0231;;dem;dem
F02310;;dem;dem
F02311;;dem;dem
F02312;;dem;dem
F0232;;dem;dem
F02320;;dem;dem
F02321;;dem;dem
F02322;;dem;dem
F0233;;dem;dem
F02330;;dem;dem
F02331;;dem;dem
F02332;;dem;dem
F0234;;dem;dem
F02340;;dem;dem
F02341;;dem;dem
F02342;;dem;dem
F024;;dem;dem
F0240;;dem;dem
F02400;;dem;dem
F02401;;dem;dem
F02402;;dem;dem
F0241;;dem;dem
F02410;;dem;dem
F02411;;dem;dem
F02412;;dem;dem
F0242;;dem;dem
F02420;;dem;dem
F02421;;dem;dem
F02422;;dem;dem
F0243;;dem;dem
F02430;;dem;dem
F02431;;dem;dem
F02432;;dem;dem
F0244;;dem;dem
F02440;;dem;dem
F02441;;dem;dem
F02442;;dem;dem
F028;;dem;dem
F0280;;dem;dem
F02800;;dem;dem
F02801;;dem;dem
F02802;;dem;dem
F0281;;dem;dem
F02810;;dem;dem
F02811;;dem;dem
F02812;;dem;dem
F0282;;dem;dem
F02820;;dem;dem
F02821;;dem;dem
F02822;;dem;dem
F0283;;dem;dem
F02830;;dem;dem
F02831;;dem;dem
F02832;;dem;dem
F0284;;dem;dem
F02840;;dem;dem
F02841;;dem;dem
F02842;;dem;dem
F03;;dem;dem
F03+0;;dem;dem
F03+00;;dem;dem
F03+01;;dem;dem
F03+02;;dem;dem
F03+1;;dem;dem
F03+10;;dem;dem
F03+11;;dem;dem
F03+12;;dem;dem
F03+2;;dem;dem
F03+20;;dem;dem
F03+21;;dem;dem
